,MX,MY,p-value
0,3500.0,600.0,0.5
1,3500.0,900.0,0.5
2,3500.0,1200.0,0.25137044929287
3,3500.0,1600.0,0.3416899634752386
4,3500.0,2200.0,0.5
5,3500.0,2800.0,0.5
6,3000.0,400.0,0.5
7,3000.0,600.0,0.5
8,3000.0,900.0,0.5
9,3000.0,1600.0,0.2739617002642952
10,3000.0,2200.0,0.5
11,3000.0,2600.0,0.5
12,2800.0,350.0,0.5
13,2800.0,600.0,0.5
14,2800.0,1000.0,0.5
15,2800.0,1400.0,0.4327364064337217
16,2800.0,2200.0,0.4007818637629628
17,1800.0,1200.0,0.5
18,4000.0,300.0,0.5
19,4000.0,500.0,0.5
20,4000.0,700.0,0.5
21,4000.0,900.0,0.5
22,4000.0,1100.0,0.2663919986090184
23,4000.0,1300.0,0.25359623746720006
24,4000.0,1600.0,0.34116898552628144
25,4000.0,2000.0,0.5
26,4000.0,2400.0,0.5
27,4000.0,2600.0,0.5
28,3500.0,300.0,0.5
29,3500.0,400.0,0.5
30,3500.0,500.0,0.5
31,3500.0,800.0,0.23924224669832456
32,3500.0,1100.0,0.26018042648433404
33,3500.0,1400.0,0.22581742100925445
34,3500.0,2000.0,0.5
35,3500.0,2500.0,0.5
36,3000.0,300.0,0.5
37,3000.0,450.0,0.5
38,3000.0,700.0,0.5
39,3000.0,1000.0,0.4238467846573183
40,3000.0,1300.0,0.2754483974401448
41,3000.0,1800.0,0.3097006565880288
42,3000.0,2400.0,0.5
43,3000.0,2800.0,0.5
44,2800.0,400.0,0.5
45,2800.0,700.0,0.5
46,2800.0,1100.0,0.5
47,2800.0,1600.0,0.11979624285532836
48,2800.0,2400.0,0.4286222108965153
49,4000.0,350.0,0.5
50,4000.0,450.0,0.5
51,4000.0,600.0,0.5
52,4000.0,800.0,0.24415127091789907
53,4000.0,1000.0,0.41333208575040115
54,4000.0,1200.0,0.2567668785034305
55,4000.0,1400.0,0.23225318329515843
56,4000.0,1800.0,0.37949449831080423
57,4000.0,2200.0,0.5
58,4000.0,2500.0,0.5
59,4000.0,2800.0,0.5
60,3500.0,350.0,0.5
61,3500.0,450.0,0.5
62,3500.0,700.0,0.5
63,3500.0,1300.0,0.2482133423729579
64,3500.0,1800.0,0.381953308953805
65,3500.0,2400.0,0.5
66,3500.0,2600.0,0.5
67,3000.0,800.0,0.2787812463312408
68,3000.0,1100.0,0.29075484908394555
69,3000.0,2000.0,0.5
70,3000.0,2500.0,0.5
71,2800.0,450.0,0.5
72,2800.0,800.0,0.5
73,2800.0,1200.0,0.5
74,2800.0,1800.0,0.15814063858429417
75,2800.0,500.0,0.5
76,2800.0,900.0,0.5
77,2800.0,1300.0,0.5
78,2800.0,2000.0,0.335063288702494
79,2800.0,2500.0,0.5
80,2800.0,2600.0,0.5
81,2600.0,300.0,0.5
82,2600.0,350.0,0.5
83,2600.0,400.0,0.5
84,2600.0,450.0,0.5
85,2600.0,500.0,0.5
86,2600.0,600.0,0.5
87,2600.0,700.0,0.5
88,2600.0,800.0,0.5
89,2600.0,900.0,0.5
90,2600.0,1000.0,0.5
91,2600.0,1100.0,0.5
92,2600.0,1200.0,0.5
93,2600.0,1300.0,0.5
94,2600.0,1400.0,0.44297964078018015
95,2600.0,1600.0,0.127761193599429
96,2600.0,1800.0,0.11763183453411952
97,2600.0,2000.0,0.2338741325548015
98,2600.0,2200.0,0.3099878528293069
99,2600.0,2400.0,0.5
100,2500.0,300.0,0.5
101,2500.0,350.0,0.5
102,2500.0,400.0,0.5
103,2500.0,450.0,0.5
104,2500.0,500.0,0.5
105,2500.0,600.0,0.5
106,2500.0,700.0,0.5
107,2500.0,800.0,0.5
108,2500.0,900.0,0.5
109,2500.0,1000.0,0.5
110,2500.0,1100.0,0.5
111,2500.0,1200.0,0.5
112,2500.0,1300.0,0.5
113,2500.0,1400.0,0.4398099310001278
114,2500.0,1800.0,0.11332590199157361
115,2500.0,2000.0,0.23169099187705366
116,2500.0,2200.0,0.4762790291964468
117,2400.0,300.0,0.5
118,2400.0,350.0,0.5
119,2400.0,400.0,0.5
120,2400.0,450.0,0.5
121,2400.0,500.0,0.5
122,2400.0,600.0,0.5
123,2400.0,700.0,0.5
124,2400.0,900.0,0.5
125,2400.0,1000.0,0.5
126,2400.0,1100.0,0.5
127,2400.0,1200.0,0.5
128,2400.0,1300.0,0.5
129,2400.0,1400.0,0.4351078788062877
130,2400.0,1600.0,0.12554684791369342
131,2400.0,1800.0,0.11210078007449603
132,2400.0,2000.0,0.2349363420091195
133,2400.0,2200.0,0.5
134,2200.0,300.0,0.5
135,2200.0,350.0,0.5
136,2200.0,400.0,0.5
137,2200.0,450.0,0.5
138,2200.0,500.0,0.5
139,2200.0,700.0,0.5
140,2200.0,800.0,0.5
141,2200.0,900.0,0.5
142,2200.0,1000.0,0.5
143,2200.0,1100.0,0.5
144,2200.0,1200.0,0.5
145,2200.0,1300.0,0.5
146,2200.0,1400.0,0.4226899912976674
147,2200.0,1600.0,0.12917252143895497
148,2200.0,1800.0,0.12543772716727825
149,2200.0,2000.0,0.5
150,2000.0,300.0,0.5
151,2000.0,350.0,0.5
152,2000.0,400.0,0.5
153,2000.0,450.0,0.5
154,2000.0,500.0,0.5
155,2000.0,600.0,0.5
156,2000.0,700.0,0.5
157,2000.0,800.0,0.5
158,2000.0,900.0,0.5
159,2000.0,1000.0,0.5
160,2000.0,1100.0,0.5
161,2000.0,1200.0,0.5
162,2000.0,1300.0,0.5
163,2000.0,1600.0,0.4616930125537511
164,2000.0,1800.0,0.5
165,1800.0,300.0,0.5
166,1800.0,350.0,0.5
167,1800.0,400.0,0.5
168,1800.0,450.0,0.5
169,1800.0,500.0,0.5
170,1800.0,600.0,0.5
171,1800.0,700.0,0.5
172,1800.0,800.0,0.5
173,1800.0,900.0,0.2847438590927326
174,1800.0,1000.0,0.5
175,1800.0,1100.0,0.5
176,1800.0,1300.0,0.5
177,1800.0,1400.0,0.5
178,1800.0,1600.0,0.5
179,1600.0,300.0,0.5
180,1600.0,350.0,0.5
181,1600.0,400.0,0.5
182,1600.0,450.0,0.4983501071555021
183,1600.0,500.0,0.5
184,1600.0,600.0,0.5
185,1600.0,700.0,0.5
186,1600.0,800.0,0.5
187,1600.0,900.0,0.22316859643126552
188,1600.0,1000.0,0.40600691672923483
189,1600.0,1100.0,0.4870575004662455
190,1600.0,1200.0,0.5
191,1600.0,1300.0,0.5
192,1600.0,1400.0,0.5
193,1400.0,350.0,0.3542058346235981
194,1400.0,400.0,0.5
195,1400.0,450.0,0.5
196,1400.0,500.0,0.4980220759460281
197,1400.0,600.0,0.49867403423519907
198,1400.0,700.0,0.38990403969611503
199,1400.0,800.0,0.4062696789449334
200,1400.0,900.0,0.20648126496999492
201,1400.0,1000.0,0.20668140559998843
202,1400.0,1100.0,0.23570945465570742
203,1400.0,1200.0,0.5
204,1000.0,800.0,0.5
205,900.0,600.0,0.5
206,800.0,300.0,0.5
207,800.0,400.0,0.09580988991203582
208,1200.0,300.0,0.16563556725431416
209,1200.0,350.0,0.16009624837157166
210,1200.0,400.0,0.5
211,1200.0,450.0,0.5
212,1200.0,500.0,0.5
213,1200.0,600.0,0.22680267983881425
214,1200.0,700.0,0.09161487096474868
215,1200.0,800.0,0.36838032242858443
216,1200.0,900.0,0.01892721799214195
217,1200.0,1000.0,0.5
218,1000.0,300.0,0.5
219,1000.0,350.0,0.5
220,1000.0,400.0,0.5
221,1000.0,450.0,0.3925926919052196
222,1000.0,500.0,0.07695067000687332
223,1000.0,600.0,0.04336121842114587
224,1000.0,700.0,0.5
225,900.0,300.0,0.5
226,900.0,400.0,0.5
227,900.0,500.0,0.034425888913624796
228,900.0,700.0,0.5
229,800.0,500.0,0.16305652707426882
230,800.0,600.0,0.5
